Year,Week,CPUE,Catch,Mass
1987,11,5.43,8755,43
1987,12,4.52,7581,44
1987,13,4.2,4476,43
1987,14,1.91,3116,46
1987,15,1.48,3365,47
1987,16,1.57,3261,49
1987,17,0.73,1291,57
1987,18,0.56,956,58
1988,6,2.9,3914,37
1988,7,2.25,4965,38
1988,8,1.63,4382,40
1988,9,1.68,4686,41
1988,10,1.65,3872,42
1988,11,1.45,3771,43
1988,12,1.29,3454,44
1988,13,0.69,1548,43
1988,14,1.07,2034,46
1988,15,0.72,1503,47
1988,16,0.68,1684,49
1988,17,0.65,1358,57
1989,10,10.6,6540,42
1989,11,8.54,7992,43
1989,12,4.46,7856,44
1989,13,4.55,7412,43
1989,14,4.24,7170,46
1989,15,4.21,7020,47
1989,16,3.15,6743,49
1989,17,2.91,5277,57
1989,18,2.31,4773,55
1989,19,1.95,3076,57
1989,20,1.44,4010,59
1990,7,7.75,7472,38
1990,8,7.31,6708,40
1990,9,5,5173,41
1990,10,3.01,4738,42
1990,11,5.85,6914,43
1990,12,4.04,4774,44
1990,13,3.55,3113,43
1990,14,2.2,3818,46
1990,15,2.5,4515,47
1991,6,6.47,3686,37
1991,7,6.35,3142,38
1991,8,3.42,2577,40
1991,9,4.18,2808,41
1991,10,2.73,2608,42
1991,11,2.88,2243,43
1991,12,1.93,1522,44
1992,8,5.14,4055,30
1992,9,2.75,3166,31
1992,10,4.89,4583,31
1992,11,3.05,3734,32
1992,12,1.44,1264,33
1992,13,1.58,1693,33
1992,14,2.2,2170,34
1992,15,1.97,1894,34
1992,16,2.15,1778,35
1993,14,2.54,2799,51
1993,15,2.76,3636,53
1993,16,2.16,2750,55
1993,17,1.6,2546,56
1993,18,1.46,1664,58
1994,7,2.3,3001,32
1994,8,2.34,2829,32
1994,9,1.42,2291,32
1994,10,1.36,2010,32
1994,11,1.19,1536,32
1994,12,0.99,1417,32
1994,13,1.49,2038,32
1995,11,14.98,4243,53
1995,12,9.72,4885,54
1995,13,6.91,3579,54
1995,14,6.06,4663,55
1995,15,5.19,4281,56
1995,16,4.8,3197,57
1995,17,4.47,3620,57
1995,18,3.59,2983,58
1995,19,3.23,2796,59
1996,7,1.59,2041,43
1996,8,2.16,2362,46
1996,9,1.49,1860,48
1996,10,0.34,453,50
1996,11,0.32,378,53
1996,12,0.48,690,55
1997,10,1.4,1306,43
1997,11,1.33,1416,44
1997,12,1.1,1160,44
1997,13,0.87,837,44
1997,14,0.73,662,45
1997,15,0.76,756,45
1998,9,3.25,3271,43
1998,10,2.73,2566,44
1998,11,2.31,2812,46
1998,12,2.94,2987,47
1998,13,3.02,2411,48
1998,14,1.2,1202,50
1999,6,2.01,2569,39
1999,7,1.2,1576,40
1999,8,1.09,1518,41
1999,9,1.15,1561,42
1999,10,1.3,1618,43
1999,11,1.01,1214,44
1999,12,0.79,1062,45
1999,13,0.96,1091,45
1999,14,0.76,1186,46
1999,15,0.55,892,47
1999,16,0.54,934,48
2000,5,1.76,1883,27
2000,6,1.86,2953,29
2000,7,1.7,3102,30
2000,9,1.25,1921,34
2000,11,1.8,2465,37
2000,12,1.62,1909,38
2000,13,1.39,1299,40
2000,14,1.41,1658,42
